"Id Empenho";"Código Empenho";"Sequencial";"Tipo Operação";"Data Operação";"Quantidade Item";"Valor Unitário Item";"Valor Total Item"
"563861491";"170177000012025NE000086";"1";"INCLUSAO";"06/01/2025";"0,00085";"11764,70590";"10,00000"
"563861491";"170177000012025NE000086";"2";"INCLUSAO";"06/01/2025";"0,00350";"2857,14290";"10,00000"
"563861491";"170177000012025NE000086";"3";"INCLUSAO";"06/01/2025";"0,00336";"2976,19050";"10,00000"
"563872731";"152005000012025NE000036";"1";"INCLUSAO";"08/01/2025";"9,83784";"2032,96660";"20000,00000"
"563874458";"152005000012025NE000010";"1";"INCLUSAO";"06/01/2025";"1,00000";"372000,00000";"372000,00000"
"563885474";"152005000012025NE000040";"1";"INCLUSAO";"08/01/2025";"0,00500";"200000,00000";"1000,00000"
"563887272";"152005000012025NE000023";"1";"INCLUSAO";"07/01/2025";"1,00000";"30500,00000";"30500,00000"
"563888319";"152005000012025NE000016";"1";"INCLUSAO";"07/01/2025";"1,00000";"706800,00000";"706800,00000"
"563888751";"170177000012025NE000094";"1";"INCLUSAO";"06/01/2025";"0,00495";"1010,10100";"5,00000"
"563888751";"170177000012025NE000094";"2";"INCLUSAO";"06/01/2025";"0,03513";"142,32850";"5,00000"
"563890951";"250030000012025NE000004";"1";"INCLUSAO";"06/01/2025";"9,68523";"92,92500";"900,00000"
"563891668";"152005000012025NE000006";"1";"INCLUSAO";"06/01/2025";"1,00000";"34391559,00000";"34391559,00000"
"563893131";"152005000012025NE000015";"1";"INCLUSAO";"06/01/2025";"1,00000";"850000,00000";"850000,00000"
"563893146";"200404000012025NE000016";"1";"INCLUSAO";"10/01/2025";"0,31816";"62861,45340";"20000,00000"
"563895324";"152005000012025NE000012";"1";"INCLUSAO";"06/01/2025";"1,00000";"33000,00000";"33000,00000"
"563896015";"152005000012025NE000013";"1";"INCLUSAO";"06/01/2025";"1,00000";"304900,00000";"304900,00000"
"563901515";"152005000012025NE000066";"1";"INCLUSAO";"09/01/2025";"0,02002";"124875,12490";"2500,00000"
"563901642";"152005000012025NE000067";"1";"INCLUSAO";"09/01/2025";"0,05459";"45795,93330";"2500,00000"
"563904570";"152005000012025NE000027";"1";"INCLUSAO";"07/01/2025";"1,00000";"1000,00000";"1000,00000"
"563908414";"200404000012025NE000010";"1";"INCLUSAO";"10/01/2025";"1,00000";"88500,00000";"88500,00000"
"563908423";"170177000012025NE000186";"1";"INCLUSAO";"10/01/2025";"0,00700";"206555,71430";"1445,89000"
"563910589";"152005000012025NE000014";"1";"INCLUSAO";"06/01/2025";"1,00000";"150000,00000";"150000,00000"
"563910871";"200406000012025NE000020";"1";"INCLUSAO";"13/01/2025";"11,23596";"760,00000";"8539,33000"
"563910871";"200406000012025NE000020";"2";"INCLUSAO";"13/01/2025";"1,44980";"3100,00000";"4494,38000"
"563910871";"200406000012025NE000020";"3";"INCLUSAO";"13/01/2025";"1,74157";"4000,00570";"6966,29000"
"563914506";"200406000012025NE000013";"1";"INCLUSAO";"13/01/2025";"1,00000";"116000,00000";"116000,00000"
"563916331";"152005000012025NE000053";"1";"INCLUSAO";"08/01/2025";"0,17445";"17196,90460";"3000,00000"
"563923049";"170177000012025NE000199";"1";"INCLUSAO";"15/01/2025";"0,75000";"17580,00000";"13185,00000"
"563942884";"170177000012025NE000178";"1";"INCLUSAO";"09/01/2025";"1274,58937";"0,20700";"263,84000"
"563954987";"170177000012025NE000212";"1";"INCLUSAO";"16/01/2025";"0,01091";"30279,56000";"330,35000"
"563983284";"330094000012025NE000044";"1";"INCLUSAO";"29/01/2025";"1,00000";"15000,00000";"15000,00000"
"563983284";"330094000012025NE000044";"2";"INCLUSAO";"29/01/2025";"1,00000";"30000,00000";"30000,00000"
"564020970";"731040000012025NE000001";"1";"INCLUSAO";"30/01/2025";"2,00000";"320,00000";"640,00000"
"564068143";"170177000012025NE000248";"1";"INCLUSAO";"18/02/2025";"7031,93033";"0,06890";"484,50000"
"564068143";"170177000012025NE000248";"2";"INCLUSAO";"18/02/2025";"4044,24040";"0,11980";"484,50000"
"564068143";"170177000012025NE000248";"3";"INCLUSAO";"18/02/2025";"1,22348";"396,00160";"484,50000"
"564068143";"170177000012025NE000248";"4";"INCLUSAO";"18/02/2025";"1,93800";"250,00000";"484,50000"
"564449235";"170177000012025NE000334";"1";"INCLUSAO";"22/05/2025";"0,23153";"10063,49070";"2330,00000"
"564470554";"158499264302025NE000061";"1";"INCLUSAO";"28/05/2025";"9,58547";"19,13000";"183,37000"
"564470554";"158499264302025NE000061";"2";"INCLUSAO";"28/05/2025";"4,79148";"38,27000";"183,37000"
"564470554";"158499264302025NE000061";"3";"INCLUSAO";"28/05/2025";"7,30267";"25,11000";"183,37000"
"564470554";"158499264302025NE000061";"4";"INCLUSAO";"28/05/2025";"6,96959";"26,31000";"183,37000"
"564470554";"158499264302025NE000061";"5";"INCLUSAO";"28/05/2025";"154,09244";"1,19000";"183,37000"
